"gse"	"sample_count"	"title"	"type"	"gpl"	"gpl_title"	"manufacturer"
"GSE103091"	107	"Gene-expression molecular subtyping of triple-negative breast cancer tumors"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE103161"	110	"MicroRNA profiles of 110 primary breast cancer tumors of systemically untreated, lymph node negative and estrogen receptor positive patients"	"Non-coding RNA profiling by array"	"GPL23960"	"Custom miRCURY LNA microRNA array (Exiqon #208410; mirBase version 16)"	"Odense University Hospital, Department of Clinical Genetics, Denmark"
"GSE10510"	152	"Comparison between Estrogen receptor positive and Estrogen receptor negative breast cancer samples"	"Expression profiling by array"	"GPL6486"	"DKFZ Division of Molecular Genome Analysis Human Operon 4.0 oligo Array 35k"	"DKFZ Division of Molecular Genome Analysis"
"GSE12622"	103	"Tumor-associated stroma derived from primary clinical breast cancer samples (II)"	"Expression profiling by array"	"GPL1708"	"Agilent-012391 Whole Human Genome Oligo Microarray G4112A (Feature Number version)"	"Agilent Technologies"
"GSE1456"	318	"Gene expression of breast cancer tissue in a large population-based cohort of Swedish patients"	"Expression profiling by array"	"GPL97"	"[HG-U133B] Affymetrix Human Genome U133B Array"	"Affymetrix"
"GSE1456"	318	"Gene expression of breast cancer tissue in a large population-based cohort of Swedish patients"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE16391"	55	"GGI: a potential predictor of relapse for endocrine-treated breast cancer patients in the BIG 1-98 trial"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE19536"	210	"Molecular Characterization of Breast Cancer Subtypes Derived from Joint Analysis of High Throughput miRNA and mRNA Data"	"Non-coding RNA profiling by array; Expression profiling by array"	"GPL6480"	"Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)"	"Agilent Technologies"
"GSE19536"	210	"Molecular Characterization of Breast Cancer Subtypes Derived from Joint Analysis of High Throughput miRNA and mRNA Data"	"Non-coding RNA profiling by array; Expression profiling by array"	"GPL8227"	"Agilent-019118 Human miRNA Microarray 2.0 G4470B (miRNA ID version)"	"Agilent Technologies"
"GSE19783"	211	"Molecular Characterization of Breast Cancer Subtypes from Joint Analysis of High Throughput miRNA and mRNA Data (II)"	"Non-coding RNA profiling by array; Expression profiling by array"	"GPL8227"	"Agilent-019118 Human miRNA Microarray 2.0 G4470B (miRNA ID version)"	"Agilent Technologies"
"GSE19783"	211	"Molecular Characterization of Breast Cancer Subtypes from Joint Analysis of High Throughput miRNA and mRNA Data (II)"	"Non-coding RNA profiling by array; Expression profiling by array"	"GPL6480"	"Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)"	"Agilent Technologies"
"GSE19829"	70	"A gene expression profile of BRCAness that is associated with outcome in ovarian cancer"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE19829"	70	"A gene expression profile of BRCAness that is associated with outcome in ovarian cancer"	"Expression profiling by array"	"GPL8300"	"[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array"	"Affymetrix"
"GSE20685"	327	"Microarray-based molecular subtyping of breast cancer"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE20711"	90	"Epigenetic portraits of human breast cancers (expression data)"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE20713"	338	"Epigenetic portraits of human breast cancers"	"Expression profiling by array; Methylation profiling by array"	"GPL8490"	"Illumina HumanMethylation27 BeadChip (HumanMethylation27_270596_v.1.2)"	"Illumina, Inc."
"GSE20713"	338	"Epigenetic portraits of human breast cancers"	"Expression profiling by array; Methylation profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE21653"	266	"A gene expression signature identifies two prognostic subgroups of basal breast cancer"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE22216"	210	"microRNA expression profiling of early primary breast cancer to identify prognostic markers and associated pathways"	"Non-coding RNA profiling by array"	"GPL8178"	"Illumina Human v1 MicroRNA expression beadchip"	"Illumina Inc."
