"gse"	"sample_count"	"title"	"type"	"gpl"	"gpl_title"	"manufacturer"
"GSE101929"	66	"Gene expression data from African Americans and European Americans with non-small cell lung cancer"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE102286"	179	"MicroRNA expression data from African Americans and European Americans with non-small cell lung cancer"	"Non-coding RNA profiling by array"	"GPL23871"	"NanoString nCounter Human miRNA Expression Assay v1.6"	"NanoString Technologies"
"GSE102287"	245	"Gene and microRNA expression data from African Americans and European Americans with non-small cell lung cancer"	"Expression profiling by array; Non-coding RNA profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE102287"	245	"Gene and microRNA expression data from African Americans and European Americans with non-small cell lung cancer"	"Expression profiling by array; Non-coding RNA profiling by array"	"GPL23871"	"NanoString nCounter Human miRNA Expression Assay v1.6"	"NanoString Technologies"
"GSE11117"	56	"Molecular Classification and Prediction of Survival in Non-Small-Cell Lung Cancer"	"Expression profiling by array"	"GPL6650"	"Novachip human 34.5k"	"Novartis"
"GSE11969"	163	"Expression Profile-Defined Classification of Lung Adenocarcinoma"	"Expression profiling by array"	"GPL7015"	"Agilent Homo sapiens 21.6K custom array"	"Agilent Technologies"
"GSE13213"	117	"Relapse-related molecular signature in lung adenocarcinomas identifies patients with dismal prognosis"	"Expression profiling by array"	"GPL6480"	"Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)"	"Agilent Technologies"
"GSE14814"	90	"Prognostic and Predictive Gene Signature for Adjuvant Chemotherapy in Resected Non-Small Cell Lung Cancer"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE16025"	61	"miRNA prognostic profiles in lung cancer"	"Non-coding RNA profiling by array"	"GPL5106"	"mirVANA miRNA Bioarray V2"	"Ambion, Inc."
"GSE17710"	56	"Human lung squamous cell carcinoma expression profiling"	"Expression profiling by array"	"GPL9053"	"Agilent-UNC-custom-4X44K"	"Agilent"
"GSE19188"	156	"Expression data for early stage NSCLC"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE26939"	115	"Human lung adenocarcinoma mRNA expression and gene mutations."	"Expression profiling by array"	"GPL9053"	"Agilent-UNC-custom-4X44K"	"Agilent"
"GSE28571"	100	"Gene Copy Number Aberrations are Associated with Survival in Histological Subgroups of Non-Small Cell Lung Cancer (expression data)"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE28582"	200	"Gene Copy Number Aberrations are Associated with Survival in Histological Subgroups of Non-Small Cell Lung Cancer"	"Expression profiling by array; Genome variation profiling by SNP array"	"GPL3718"	"[Mapping250K_Nsp] Affymetrix Mapping 250K Nsp SNP Array"	"Affymetrix"
"GSE28582"	200	"Gene Copy Number Aberrations are Associated with Survival in Histological Subgroups of Non-Small Cell Lung Cancer"	"Expression profiling by array; Genome variation profiling by SNP array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE29013"	55	"Robust Gene Expression Signature from Formalin-Fixed Paraffin-Embedded Samples Predicts Prognosis of Non-Small-Cell Lung Cancer Patients"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE30219"	282	"\"Off-context\" gene expression in lung cancer identifies a group of metastatic-prone tumors"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
